step,loss,acc_top1,acc_top5,learning_rate
31100,0.6425914764404297,87.5,93.359375,0.0003
31200,0.7163575887680054,85.9375,92.1875,0.0003
31300,0.6992497444152832,85.15625,94.921875,0.0003
31400,0.5756431818008423,86.328125,96.484375,0.0003
31500,0.6579995155334473,83.984375,92.578125,0.0003
31600,0.9312716126441956,78.90625,88.671875,0.0003
31700,0.9027208685874939,80.46875,87.890625,0.0003
31800,0.8135237693786621,86.328125,90.234375,0.0003
31900,0.5735369920730591,88.671875,94.921875,0.0003
32000,0.6790148019790649,85.546875,93.75,0.0003
32100,0.7596635222434998,82.8125,92.96875,0.0003
32200,0.7225146293640137,85.15625,93.359375,0.0003
32300,0.8580989837646484,82.8125,90.625,0.0003
32400,0.8644179105758667,81.640625,90.625,0.0003
32500,0.6548066139221191,83.984375,94.140625,0.0003
32600,0.8684731721878052,83.203125,91.796875,0.0003
32700,0.5947341918945312,87.109375,94.53125,0.0003
32800,0.7931309938430786,83.203125,91.015625,0.0003
32900,0.7368457913398743,84.375,93.75,0.0003
33000,0.7319576740264893,82.8125,92.1875,0.0003
33100,0.7966781258583069,82.03125,92.1875,0.0003
33200,0.6257901191711426,86.328125,94.53125,0.0003
33300,0.8062425255775452,83.984375,91.015625,0.0003
33400,0.7574290633201599,79.6875,93.359375,0.0003
33500,0.5678951740264893,87.5,94.53125,0.0003
33600,0.7196551561355591,84.375,93.75,0.0003
33700,0.6612967848777771,83.59375,93.359375,0.0003
33800,0.5988729000091553,84.765625,95.703125,0.0003
33900,0.7323821187019348,84.375,92.1875,0.0003
34000,0.8824666738510132,82.421875,89.84375,0.0003
34100,0.7766422033309937,83.984375,91.40625,0.0003
34200,0.6523136496543884,84.765625,95.3125,0.0003
34300,0.6145150065422058,89.84375,95.3125,0.0003
34400,0.7905160188674927,80.859375,90.234375,0.0003
34500,0.8615211844444275,82.421875,90.234375,0.00029999992458804795
34600,0.8169556856155396,82.8125,92.578125,0.00029999992458804795
34700,0.689095139503479,82.03125,96.875,0.00029999992458804795
34800,1.2306746244430542,75.390625,85.546875,0.00029999992458804795
34900,0.7346099019050598,85.15625,92.96875,0.00029999992458804795
35000,0.6378423571586609,87.5,92.578125,0.00029999992458804795
35100,0.7934514880180359,84.765625,90.625,0.00029999992458804795
35200,0.5406145453453064,88.28125,96.484375,0.00029999992458804795
35300,0.6691444516181946,85.9375,93.359375,0.00029999992458804795
35400,0.6136149168014526,88.671875,92.578125,0.00029999992458804795
35500,0.5557330846786499,87.890625,96.484375,0.00029999992458804795
35600,0.5926751494407654,86.328125,93.75,0.00029999992458804795
35700,0.526945173740387,88.671875,96.484375,0.00029999992458804795
35800,0.851311445236206,82.421875,90.625,0.00029999992458804795
35900,0.6586347222328186,84.375,93.75,0.00029999992458804795
36000,0.7321363687515259,86.328125,91.796875,0.00029999992458804795
36100,0.6038862466812134,86.71875,94.921875,0.00029999992458804795
36200,0.7066134214401245,85.546875,93.359375,0.00029999992458804795
36300,0.7419285178184509,82.8125,92.578125,0.00029999992458804795
36400,0.7521282434463501,83.984375,92.1875,0.00029999992458804795
36500,0.7345098853111267,83.984375,91.796875,0.00029999992458804795
36600,0.6856308579444885,84.765625,92.578125,0.00029999992458804795
36700,0.8619514107704163,82.03125,91.40625,0.00029999992458804795
36800,0.6158280372619629,83.203125,95.703125,0.00029999992458804795
36900,0.7830843329429626,83.984375,91.40625,0.00029999992458804795
37000,0.7972753047943115,81.25,91.40625,0.00029999992458804795
37100,0.5978394746780396,83.59375,96.484375,0.00029999992458804795
37200,0.6748543381690979,84.375,92.1875,0.00029999992458804795
37300,0.7098526954650879,85.546875,92.1875,0.00029999992458804795
37400,0.6081380248069763,85.546875,95.3125,0.00029999992458804795
37500,0.784043550491333,82.8125,91.40625,0.00029999992458804795
37600,0.698462724685669,86.328125,92.96875,0.0002999996983522677
37700,0.45771849155426025,88.671875,97.65625,0.0002999996983522677
37800,0.577033281326294,87.109375,95.703125,0.0002999996983522677
37900,0.5441628098487854,90.234375,94.140625,0.0002999996983522677
38000,0.625914454460144,87.890625,94.53125,0.0002999996983522677
38100,0.5558107495307922,86.71875,94.921875,0.0002999996983522677
